Know. Lvl,Inf,Name,Age,Nationality,2nd Nat,Personality,Position,Ability,Potential,Height,Weight,Right Foot,Left Foot,Club,Value,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr
100%,Wnt,David Correia,20,POR,,Fairly Ambitious,"DM, M/AM (LC)",,,"6'0""",171 lbs,Weak,Very Strong,FC Barcelona B,$18.25M,13,11,15,14,14,12,9,13,10,11,16,9,9,17,8,12,6,16,11,15,12,16,14,17,11,11,16,13,14,15,17,10,13,13,13,13,3,1,1,2,3,1,2,3,2,4,1
100%,Wnt,Ignasi Busquets,20,ESP,,Fairly Determined,"AM (R), ST (C)",,,"5'9""",147 lbs,Weak,Very Strong,FC Barcelona B,$17M,10,11,17,13,15,10,7,11,7,8,12,8,6,16,9,13,10,14,9,13,15,15,3,13,8,11,13,13,18,17,15,9,14,14,12,10,1,1,1,1,2,1,2,1,2,1,3
100%,,Emil Delcea,19,ROU,ITA,Professional,M/AM (C),,,"5'9""",156 lbs,Very Weak,Very Strong,1. FC Köln,$17M,14,12,11,7,14,12,9,12,7,10,16,10,12,17,17,14,8,14,10,18,11,7,4,11,11,14,14,17,12,15,19,13,13,12,18,11,1,2,2,2,2,3,3,2,1,1,3
100%,Inj,Enrique Aued,20,ARG,ESP,Resolute,"M (LC), AM (RL), ST (C)",,,"5'9""",149 lbs,Weak,Very Strong,FC Barcelona B,$14.25M,13,12,13,13,17,9,10,8,5,6,13,8,7,16,8,12,11,14,10,15,15,15,11,13,6,12,11,15,15,15,16,8,15,15,12,9,3,2,3,1,2,3,2,1,3,3,3
100%,Unh,Fabrício,22,BRA,POR,Spirited,"D (RLC), DM",,,"6'3""",182 lbs,Very Strong,Weak,FC Barcelona B,$11M,11,8,6,4,10,16,11,11,7,12,9,7,16,8,11,15,16,11,12,15,13,4,13,11,12,10,10,12,12,14,15,18,13,12,14,11,4,3,2,2,1,3,2,1,1,1,2
100%,,Jan Silny,22,CZE,,Perfectionist,"M (R), AM (RLC)",,,"6'0""",167 lbs,Very Strong,Reasonable,Deportivo de La Coruña,$10.75M,13,14,14,11,16,16,10,12,7,8,13,9,6,17,16,13,18,12,9,16,16,16,6,13,8,11,13,10,13,14,12,12,18,14,13,11,1,1,3,1,3,2,1,1,3,4,2
100%,Inj,Leandro Blanco,18,ARG,,Realist,M/AM (RC),,,"5'11""",156 lbs,Very Strong,Reasonable,FC Barcelona,$10.5M,12,12,10,10,12,14,8,10,3,6,10,9,10,17,13,11,15,11,9,9,15,15,2,14,10,16,10,13,16,15,15,10,13,14,12,7,3,3,1,1,1,1,2,2,1,2,2
100%,,Tim Gladrow,20,AUT,,Light-Hearted,"D/WB (R), DM, M (C)",,,"5'10""",158 lbs,Very Strong,Weak,1. FC Köln,$9.75M,10,11,10,7,17,9,8,12,6,11,11,9,10,13,11,13,17,15,10,13,16,8,16,13,13,13,15,16,11,15,15,8,15,15,15,13,3,3,4,1,1,1,1,3,2,2,1
100%,,Jimmy Luna,19,COL,,Ambitious,M/AM (LC),,,"5'10""",158 lbs,Reasonable,Very Strong,FC Barcelona B,$9.75M,11,9,12,9,15,8,9,11,6,10,16,9,8,17,18,10,11,15,9,15,15,19,10,13,8,13,16,11,14,15,16,8,10,14,11,11,2,1,2,1,2,4,2,1,1,4,1
100%,,Néstor Fajardo,18,COL,,Light-Hearted,"D (L), DM, M (C)",,,"6'1""",167 lbs,Strong,Very Strong,FC Barcelona,$9M,7,8,6,6,12,6,11,8,6,11,18,9,12,16,6,12,10,12,12,12,15,3,7,10,11,15,12,15,13,12,16,14,15,13,12,10,1,3,1,3,1,2,1,3,3,2,3
100%,,Greg Noujaim,18,ENG,AUS,Fairly Professional,D (RLC),,,"5'7""",138 lbs,Very Strong,Strong,FC Barcelona,$8.25M,7,11,7,7,9,6,10,9,6,12,12,8,15,10,9,10,17,11,13,12,14,6,4,11,13,16,11,13,13,15,12,5,13,13,16,9,1,3,3,3,3,3,2,2,2,3,1
100%,Wnt,Anders Duelund,19,DEN,,Fairly Determined,"D (RLC), WB (R), DM, M (RC)",,,"5'10""",163 lbs,Very Strong,Weak,FC Barcelona B,$8.25M,9,8,9,7,11,12,8,6,11,10,12,5,12,12,13,11,16,10,11,11,15,4,6,10,8,16,11,12,16,16,11,10,14,13,18,12,3,1,1,1,1,2,3,3,2,3,2
100%,,Luciano Rueda,21,ARG,ESP,Balanced,D (RC),,,"6'0""",171 lbs,Very Strong,Strong,FC Barcelona B,$7.25M,6,8,10,8,11,5,13,5,10,13,12,7,16,11,10,14,17,13,13,13,13,3,10,11,14,12,12,16,13,15,16,14,17,14,15,13,3,1,1,3,3,2,2,3,1,3,3
100%,,Sergio González,19,ARG,,Perfectionist,"AM (R), ST (C)",,,"6'0""",180 lbs,Very Strong,Very Weak,FC Barcelona B,$7M,9,11,13,16,16,14,12,10,5,9,16,9,9,14,8,12,12,13,9,13,15,12,11,16,8,13,15,16,13,13,16,11,14,13,12,15,3,3,1,1,1,1,1,1,3,2,1
100%,Wnt,Rasmus Lankinen,20,GER,FIN,Spirited,"M (C), AM (R), ST (C)",,,"5'10""",158 lbs,Reasonable,Very Strong,FC Barcelona B,$7M,6,8,12,13,13,2,9,10,3,4,10,10,5,13,14,13,15,13,9,11,16,12,7,13,8,8,7,11,14,17,15,9,13,16,15,10,2,2,2,3,3,3,2,1,1,2,1
100%,Yel,Luciano,20,BRA,,Fairly Ambitious,"WB (R), DM, M (C)",,,"6'0""",174 lbs,Very Strong,Weak,CD Leganés,$6.5M,9,9,9,10,14,10,11,12,6,15,16,5,17,13,9,15,12,13,13,13,14,10,11,12,14,12,9,16,15,15,16,12,13,15,17,15,3,1,2,2,3,2,1,1,2,1,3
100%,Inj,Cihat Özbek,19,TUR,NED,Professional,M (C),,,"5'10""",174 lbs,Very Strong,Very Weak,FC Barcelona B,$6.5M,9,7,10,9,17,13,11,12,9,14,17,9,10,17,14,14,13,12,11,13,12,4,15,12,9,14,17,12,12,12,16,6,11,14,13,12,3,1,3,1,3,2,1,4,2,2,1
100%,,Pau Biel,19,ESP,,Fairly Professional,D (RLC),,,"6'2""",180 lbs,Very Strong,Reasonable,FC Barcelona B,$4.7M,7,8,8,8,13,5,16,5,9,13,12,10,13,9,19,14,16,12,12,13,14,6,8,10,13,12,11,16,14,14,13,14,12,14,15,13,2,2,1,1,2,2,2,2,2,2,1
100%,Inj,Fran Gutiérrez,18,ESP,,Fairly Professional,D/M (C),,,"6'2""",176 lbs,Very Strong,Very Weak,FC Barcelona B,$4.7M,6,6,8,8,11,8,11,6,8,14,12,9,16,13,9,14,6,11,13,12,13,4,11,9,14,12,9,12,13,15,18,17,15,13,14,13,3,1,2,2,1,2,1,4,3,3,1
100%,,Carlos Kiefer,17,GER,USA,Fairly Determined,"AM (R), ST (C)",,,"6'0""",160 lbs,Very Strong,Weak,FC Barcelona B,$4.6M,10,12,16,11,16,11,9,9,7,9,13,7,6,13,12,12,9,13,8,11,16,12,11,13,7,10,12,10,13,14,16,15,13,12,12,10,2,1,2,1,3,2,1,2,3,2,3
100%,,Romain Ney,16,LUX,,Fairly Determined,"DM, M (C)",,,"6'0""",156 lbs,Weak,Very Strong,FC Barcelona,$4.3M,7,6,10,7,15,8,10,9,7,11,13,10,12,13,11,12,18,10,10,15,15,3,1,11,11,16,13,13,11,13,12,13,13,13,11,11,3,2,4,2,2,2,1,1,3,2,3
100%,,Jaume García,19,ESP,,Fairly Ambitious,"M (L), AM (RL), ST (C)",,,"5'9""",149 lbs,Reasonable,Very Strong,FC Barcelona B,$3.3M,9,15,17,9,15,13,6,11,3,3,12,7,7,17,10,11,6,10,9,11,12,12,4,12,11,13,12,15,16,14,9,10,13,13,13,10,3,3,3,1,3,2,3,2,3,1,2
100%,,Momar Noël,16,FRA,,Resolute,"AM (R), ST (C)",,,"5'11""",147 lbs,Very Strong,Very Weak,FC Barcelona,$3.2M,12,8,10,14,11,15,14,11,6,6,9,11,5,11,15,11,12,12,9,11,16,12,4,10,7,20,11,18,10,13,14,8,16,11,14,12,1,3,2,2,3,2,4,3,2,2,3
100%,,Josef Hausweiler,17,GER,,Driven,M/AM (L),,,"5'7""",138 lbs,Very Weak,Very Strong,FC Barcelona,$3M,13,15,14,10,12,9,11,7,7,6,15,8,9,15,8,10,13,11,11,10,20,15,6,12,8,11,11,16,13,14,12,9,10,15,12,9,1,2,3,3,2,1,2,3,3,2,2
100%,,Thomas Daubin,16,FRA,,Light-Hearted,"M/AM (R), ST (C)",,,"5'4""",136 lbs,Very Strong,Reasonable,FC Barcelona,$2.2M,7,11,12,14,12,7,12,9,7,4,11,8,6,14,8,11,7,12,9,11,8,13,13,13,5,10,10,9,13,14,16,7,5,13,10,7,1,2,3,1,1,1,3,2,3,1,3
100%,Wnt,Luís Amador,19,POR,,Fickle,"M (R), AM (RL), ST (C)",,,"6'0""",171 lbs,Very Strong,Strong,FC Barcelona B,$1.5M,10,14,11,10,12,10,6,9,6,3,11,7,5,11,15,8,4,8,8,9,12,15,8,14,7,7,12,12,16,14,14,11,9,12,12,10,2,2,1,3,4,1,3,2,2,1,2
100%,,Igor Pavlovic,18,SRB,,Balanced,"D (R), DM, M/AM (C)",,,"6'0""",160 lbs,Very Strong,Fairly Strong,FC Barcelona,$1.4M,7,7,8,7,8,8,5,14,9,10,10,10,11,7,15,12,16,11,11,14,13,10,14,9,12,11,11,15,13,13,9,10,13,13,14,11,3,1,2,3,3,1,1,3,3,3,2
100%,Inj,Kévin Calvez,17,FRA,,Fairly Loyal,"AM (RLC), ST (C)",,,"6'1""",167 lbs,Weak,Very Strong,FC Barcelona B,$1M,11,15,13,10,12,6,7,9,7,6,11,7,5,14,8,12,8,11,10,11,14,13,10,13,8,12,11,10,14,12,10,14,8,12,12,10,2,4,1,1,4,3,1,2,3,3,1
100%,,Arnau Casas,19,ESP,,Light-Hearted,GK,,,"6'3""",171 lbs,Very Strong,Weak,FC Barcelona B,$725K,6,3,1,2,7,10,1,3,1,3,8,3,1,7,8,10,11,9,13,11,14,1,4,2,12,7,7,8,8,16,15,12,14,8,6,7,11,13,12,2,12,15,13,13,15,14,10
100%,Yth,Juan Carlos,17,ESP,,Fairly Professional,M/AM (L),,,"5'8""",138 lbs,Very Strong,Weak,FC Barcelona,$500K,9,12,9,7,12,7,3,10,4,3,12,7,6,11,10,10,5,7,5,10,11,10,6,9,6,12,11,14,14,10,8,7,10,10,10,5,2,2,2,2,3,3,3,1,2,1,1
100%,Wnt,Germain Konaté,18,CIV,,Unambitious,"D (C), DM, M (C)",,,"5'11""",156 lbs,Very Strong,Fairly Strong,FC Barcelona,$500K,8,5,7,3,8,12,6,8,4,9,10,6,10,11,15,13,16,9,9,11,3,2,15,7,9,10,14,12,12,12,13,12,16,14,10,10,3,2,3,2,1,3,2,1,2,3,1
100%,Wnt,Leandro Rodríguez Álvarez,17,ARG,ESP,Fairly Determined,D/M/AM (R),,,"5'9""",141 lbs,Very Strong,Fairly Strong,FC Barcelona,$375K,5,10,9,6,13,6,7,8,10,7,8,7,7,9,8,10,10,9,9,11,16,11,12,9,8,14,9,10,13,12,15,8,10,13,10,6,2,2,3,1,3,3,1,3,4,1,2
100%,,Alejandro Linde,18,ESP,,Balanced,M/AM (C),,,"5'10""",152 lbs,Very Strong,Weak,FC Barcelona,$350K,9,5,10,6,13,9,9,10,5,7,14,7,8,14,10,10,8,12,12,16,10,15,10,11,10,9,14,14,13,12,15,6,13,13,12,10,2,3,1,4,2,1,3,3,1,1,1
100%,Yth,Lluís Tobella,17,ESP,,Unambitious,D/M/AM (L),,,"6'1""",160 lbs,Weak,Very Strong,FC Barcelona,$300K,11,13,9,5,9,9,4,7,4,8,7,4,8,12,8,7,12,9,8,8,5,14,5,6,10,8,6,8,13,14,13,9,13,10,12,7,4,1,2,2,1,3,2,3,4,2,3
100%,Yth,Adrià,17,ESP,,Professional,AM (R),,,"5'7""",127 lbs,Very Strong,Reasonable,FC Barcelona,$300K,10,13,8,7,11,12,4,6,2,2,6,4,5,9,13,6,9,8,5,7,11,13,12,12,5,13,7,10,13,15,6,6,13,16,7,4,3,1,2,1,1,1,1,1,2,1,2
100%,Yth,Joel Carreras,17,ESP,,Unambitious,D (C),,,"6'1""",160 lbs,Very Strong,Weak,FC Barcelona,$300K,4,5,3,6,7,2,11,3,4,11,10,6,13,7,9,8,8,8,9,8,16,1,13,7,7,13,6,15,7,8,15,16,15,9,11,8,1,2,3,1,1,2,2,3,3,2,2
100%,Yth,Unai Sánchez,18,ESP,BAS,Fairly Professional,D (L),,,"6'0""",160 lbs,Weak,Very Strong,FC Barcelona,$275K,4,5,3,4,10,5,11,4,4,7,10,3,11,10,11,8,15,7,9,15,12,2,12,4,8,16,5,14,15,11,15,13,14,13,12,8,2,1,3,4,3,1,4,2,3,1,2
100%,Yth,Iñigo Valencia,18,ESP,BAS,Fairly Professional,"M (RL), AM (R)",,,"5'8""",145 lbs,Very Weak,Very Strong,FC Barcelona,$235K,6,13,13,9,11,10,7,9,5,4,10,7,5,16,12,9,7,9,6,13,12,8,5,9,6,7,11,11,14,13,12,8,12,13,11,9,3,4,3,2,3,2,1,3,3,2,3
100%,Yth,Nicolás Aguilera,18,ESP,,Driven,"M (L), AM (LC), ST (C)",,,"5'8""",141 lbs,Very Strong,Very Weak,FC Barcelona,$220K,11,11,8,9,12,13,12,7,5,4,12,8,6,13,13,10,10,9,8,11,18,10,4,13,5,10,10,9,13,12,15,5,11,12,9,5,3,3,3,3,1,3,1,3,2,2,1
100%,Yth,Xavier Valero,18,ESP,,Unambitious,D (C),,,"5'11""",160 lbs,Very Strong,Weak,FC Barcelona,$87K,5,5,5,5,7,3,6,6,6,7,7,2,12,7,13,7,19,7,9,9,6,2,6,4,9,11,6,13,9,9,8,12,11,9,10,9,1,1,2,2,3,2,3,2,3,2,4
100%,Yth,Guillem,18,ESP,,Low Determination,GK,,,"6'2""",165 lbs,Very Strong,Very Weak,FC Barcelona,$40K,4,2,2,3,3,8,1,3,1,3,7,6,2,3,8,8,9,7,14,13,5,2,6,3,8,14,12,10,7,7,6,12,12,9,8,5,11,7,9,2,15,6,11,9,14,9,7
